工種,明細_照会記号,明細_品番,明細_品名,明細_元商品区分,価格ＣＤ,明細_メーカCD,明細_仕入先CD,明細_数量,明細_単位名,明細_定価,明細_売上単価,明細_売上金額,明細_評価単価,明細_仕入単価,明細_仕入金額,ヘッダ_件名上,備考下,ランプ区分
1,A,XFX460AENLE9,ｉＤ６９００Ｄ−Ｗ１５０昼白色,B20,,762,10332,13,台,33050,33050,,,,,L後継品,パナソニック,
1,B,XFX420AENLE9,ｉＤ２５００Ｄ−Ｗ１５０昼白色,B20,,762,10332,7,台,23250,23250,,,,,L後継品,パナソニック,
1,C,XFX410AENLE9,ｉＤ２０００Ｄ−Ｗ１５０昼白色,B20,,762,10332,6,台,21750,21750,,,,,L後継品,パナソニック,
1,D,NNF41502LR9,ｓＢ低光束Ｌ１５００白３５Ｋ調光,B20,,762,10332,21,台,44800,44800,,,,,L,パナソニック,
1,E1,NNFW42500KLE9,ＬＤＬ４０Ｘ２業務用浴室灯,B20,,762,10332,10,台,102200,102200,,,,,L,パナソニック,
1,E1,LDL40SN2938K,直管ＬＥＤ４０形３８００タイプ昼白色,B20,,762,10332,20,台,18000,18000,,,,,L,パナソニック,
1,F,LGC37113,埋込シーリングライト８畳用調色,B20,,762,10332,24,台,65000,65000,,,,,E,パナソニック,
1,G,LGC51104K,ＬＥＤシーリングライト１２畳用調色,B20,,762,10332,86,台,34500,34500,,,,,E,パナソニック,
1,H,XLY120HLLJ9,ＣＳＬＩＭ高出力Ｌ１２００調光３０００Ｋ,B20,,762,10332,4,台,37000,37000,,,,,V,パナソニック,
1,,NNFK99011,ＣＳＬＩＭ入線処理用ジョイント金具,B20,,762,10332,4,台,2200,2200,,,,,V,パナソニック,
1,,NNFK99001,ＣＳＬＩＭ調光線挿入用アダプトコネクタ,B20,,762,10332,4,台,1690,1690,,,,,V,パナソニック,
1,,NNFK99000,ＣＳＬＩＭ電源線挿入用アダプトコネクタ,B20,,762,10332,4,台,2650,2650,,,,,V,パナソニック,
1,I1,XND1539WLLE9,ＤＬ１５０形Φ１００拡散３０Ｋ白,B20,,762,10332,60,台,25300,25300,,,,,L,パナソニック,
1,I2,XND1039WLLE9,ＤＬ１００形Φ１００拡散３０Ｋ白,B20,,762,10332,297,台,18900,18900,,,,,L,パナソニック,
1,J,XNW1531WLLE9,軒下ＤＬ１５０形φ１００拡散３０Ｋ,B20,,762,10332,27,台,33700,33700,,,,,L,パナソニック,
1,K,NNN62822W,ＵＶＤＬ１００形Φ１２５　広角３０Ｋ　白,B20,,762,10332,16,台,13000,13000,,,,,L,パナソニック,
1,,NNN82200LE1,ＬＥＤ電源ユニット　１００Ｖ用,B20,,762,10332,16,台,7300,7300,,,,,L,パナソニック,
1,L,LGW85005YF,ＬＥＤ電球４．３ＷＸ１ブラケット電球色,B20,,762,10332,4,台,24000,24000,,,,,E,パナソニック,
1,M,LGB81565LE1,ＬＥＤブラケット６０形×２電球色,B20,,762,10332,4,台,25700,25700,,,,,E,パナソニック,
1,O,XLX210AENCLE9,ｉＤ１６００Ｄ−Ｗ１５０昼白色,B20,,762,10332,12,台,19300,19300,,,,,L,パナソニック,
1,P,XLW413AENZLE9,ｉＤ２０００Ｄ１５０防湿防雨昼白ＳＵＳ,B20,,762,10332,6,台,72700,72700,,,,,L,パナソニック,
1,Q,XLW453AENZLE9,ｉＤ５２００Ｄ１５０防湿防雨昼白ＳＵＳ,B20,,762,10332,6,台,83500,83500,,,,,L,パナソニック,
1,R,LGB85000KLE1,ＬＥＤブラケット直管２０形昼白色,B20,,762,10332,9,台,25500,25500,,,,,E,パナソニック,
1,S,LGB85033LE1,ＬＥＤブラケット直管２０形電球色,B20,,762,10332,2,台,11800,11800,,,,,E,パナソニック,
1,T,NTN88002GL,ＧＬ１５×１　殺菌灯　直付殺菌線遮光方式,B20,,762,10332,2,台,115000,115000,,,,,S,パナソニック,
1,U,NYT2007RKLE1,ＬＥＤ電源一体電球色ローポールライト灯具,B20,,762,10332,8,台,48400,48400,,,,,V,パナソニック,
1,,NNY28700K,１００パイＯＨ１０００用ミディアムグレー,B20,,762,10332,8,台,17500,17500,,,,,L,パナソニック,
1,YA,FA20337CLE1,Ｂ級ＢＬ形　片面　誘導音付点滅型,B30,,762,10332,5,台,170200,170200,,,,,B,パナソニック,
1,,FK20000,避難口表示板左　Ｂ級ＢＬ・ＢＨ兼用直付用,B30,,762,10332,5,台,7000,7000,,,,,B,パナソニック,
1,YB,FA10312CLE1,ＬＥＤ誘導灯Ｃ級片面直付,B30,,762,10332,12,台,33900,33900,,,,,B,パナソニック,
1,,FK10300,避難口　表示板（左）　Ｃ級　直付用,B30,,762,10332,12,台,3300,3300,,,,,B,パナソニック,
1,YC,FA20352CLE1,ＬＥＤ誘導灯Ｂ級ＢＬ片面天井埋込,B30,,762,10332,2,台,56600,56600,,,,,B,パナソニック,
1,,FK20357,避難口表示板　矢印付右Ｂ級　天井埋込片面,B30,,762,10332,2,台,13000,13000,,,,,B,パナソニック,
1,TD1,FA10312CLE1,ＬＥＤ誘導灯Ｃ級片面直付,B30,,762,10332,5,台,33900,33900,,,,,B,パナソニック,
1,,FK10316,通路　表示板（左）　Ｃ級　直付用,B30,,762,10332,5,台,3300,3300,,,,,B,パナソニック,
1,TD2,FA10362CLE1,ＬＥＤ誘導灯Ｃ級両面天井埋込,B30,,762,10332,3,台,43900,43900,,,,,B,パナソニック,
1,,FK10386,通路表示板　左右Ｃ級　天井埋込両面,B30,,762,10332,3,台,7800,7800,,,,,B,パナソニック,
1,,FF90028K,誘導灯用信号装置　多回路用,B30,,762,10332,1,台,718800,718800,,,,,B,パナソニック,
1,HD1,NNFB93605C,ＬＥＤ非常灯専用型中天〜６Ф１００自己点,B30,,762,10332,71,台,84500,84500,,,,,B,パナソニック,
1,HD2,NNFB91715C,ＬＥＤ非常灯防湿防雨型埋込低天自己点,B30,,762,10332,3,台,77500,77500,,,,,B,パナソニック,
1,HD3,NNFB91105C,ＬＥＤ非常灯防湿型直付低天自己点,B30,,762,10332,7,台,71600,71600,,,,,B,パナソニック,
1,HD4,NWCF59011LE1,ＬＥＤ防雨型ＢＲ階段灯乳白電球色,B30,,762,10332,7,台,130000,130000,,,,,S,パナソニック,
1,K20,NNCF23115LE9,一体型階段灯２０形低光束３０分ＮＴワイド,B30,,762,10332,1,台,122000,122000,,,,,S,パナソニック,
1,K40,NNCF42135LE9,一体型階段灯４０形低光束３０分ＮＴミドル,B30,,762,10332,8,台,132000,132000,,,,,V,パナソニック,
1,,FSK90910K,,B30,,762,10332,,台,10900,10900,,,,,B,パナソニック,
